"OffspringID1","OffspringID2","Probability","year"
"L0340","L0341",1,"2012"
"L0340","L1215",1,"2012"
"L0340","L2571",0.999,"2012"
"L0341","L0373",1,"2012"
"L0341","L1215",1,"2012"
"L2212","L2284",0.997,"2012"
"L2212","L2369",0.989,"2012"
"L2214","L2220",0.998,"2012"
"L2216","L2431",0.974,"2012"
"L2216","L2479",0.968,"2012"
"L2216","L2487",0.998,"2012"
"L2216","L2582",1,"2012"
"L2220","L2386",0.996,"2012"
"L2220","L2429",0.998,"2012"
"L2220","L2470",0.985,"2012"
"L2220","L2555",0.997,"2012"
"L2220","L2577",0.994,"2012"
"L2274","L2429",0.996,"2012"
"L2284","L2485",0.998,"2012"
"L2284","L2562",0.999,"2012"
"L2291","L2384",0.992,"2012"
"L2310","L2564",0.955,"2012"
"L2329","L2383",0.992,"2012"
"L2329","L2479",0.997,"2012"
"L2329","L2487",0.998,"2012"
"L2329","L2582",0.996,"2012"
"L2368","L2414",0.988,"2012"
"L2368","L2430",0.962,"2012"
"L2368","L2486",0.998,"2012"
"L2368","L2562",0.997,"2012"
"L2368","L2564",0.96,"2012"
"L2384","L2427",0.994,"2012"
"L2406","L2483",0.983,"2012"
"L2406","L2577",0.985,"2012"
"L2418","L3042",0.965,"2012"
"L2427","L2472",0.994,"2012"
"L2427","L2480",0.983,"2012"
"L2427","L2566",0.999,"2012"
"L2429","L2555",0.994,"2012"
"L2430","L2486",1,"2012"
"L2430","L2562",1,"2012"
"L2431","L2582",0.999,"2012"
"L2470","L2483",0.982,"2012"
"L2470","L2555",0.987,"2012"
"L2472","L2480",0.999,"2012"
"L2472","L2566",0.994,"2012"
"L2480","L2566",0.994,"2012"
"L2483","L2577",0.994,"2012"
"L2486","L2552",0.971,"2012"
"L2571","L3042",0.953,"2012"
"L0259","L1248",1,"2013"
"L0283","L2488",1,"2013"
"L0307","L0846",1,"2013"
"L0318","L0693",1,"2013"
"L0362","L1077",1,"2013"
"L0398","L0661",1,"2013"
"L0695","L1310",1,"2013"
"L0859","L2492",1,"2013"
"L0861","L1308",1,"2013"
"L0873","L2495",1,"2013"
"L0981","L1270",1,"2013"
"L0629","L0917",1,"2014"
"L0629","L1229",1,"2014"
"L0705","L1003",1,"2014"
"L0716","L0782",0.998,"2014"
"L0716","L0784",1,"2014"
"L0716","L0928",1,"2014"
"L0716","L0929",1,"2014"
"L0716","L0958",1,"2014"
"L0716","L1291",1,"2014"
"L0716","L2248",1,"2014"
"L0716","L3009",1,"2014"
"L0716","L3065",1,"2014"
"L0716","L3066",1,"2014"
"L0782","L0929",1,"2014"
"L0782","L0958",1,"2014"
"L0782","L1167",1,"2014"
"L0782","L2248",1,"2014"
"L0782","L3009",1,"2014"
"L0782","L3065",1,"2014"
"L0782","L3066",1,"2014"
"L0784","L0928",1,"2014"
"L0784","L0929",1,"2014"
"L0784","L0958",1,"2014"
"L0784","L1167",1,"2014"
"L0784","L1291",1,"2014"
"L0784","L2248",1,"2014"
"L0784","L3065",1,"2014"
"L0784","L3066",1,"2014"
"L0787","L1299",1,"2014"
"L0789","L0801",1,"2014"
"L0813","L2518",1,"2014"
"L0915","L1333",1,"2014"
"L0917","L1229",1,"2014"
"L0928","L0929",1,"2014"
"L0928","L1167",0.993,"2014"
"L0928","L1291",1,"2014"
"L0928","L2248",1,"2014"
"L0929","L0958",1,"2014"
"L0929","L2248",1,"2014"
"L0929","L3009",1,"2014"
"L0929","L3065",1,"2014"
"L0929","L3066",1,"2014"
"L0958","L2248",1,"2014"
"L0958","L3066",1,"2014"
"L1167","L1291",1,"2014"
"L1167","L2248",1,"2014"
"L1167","L3066",0.979,"2014"
"L1275","L2455",1,"2014"
"L1291","L2248",1,"2014"
"L1291","L3009",1,"2014"
"L1291","L3065",1,"2014"
"L1291","L3066",1,"2014"
"L2248","L3009",1,"2014"
"L2248","L3065",1,"2014"
"L2248","L3066",1,"2014"
"L3009","L3065",1,"2014"
"L3009","L3066",1,"2014"
"L3065","L3066",1,"2014"
"L2914","L3051",1,"2015"
"L2956","L3092",1,"2015"
"L2981","L3097",1,"2015"
"L3613","L5338",1,"2016"
"L3351","L5492",1,"2017"
